-13.534,-5.255,5.394,0.092,-0.854,-1.298
-13.283,-5.303,5.813,0.052,-0.836,-1.262
-13.137,-5.363,6.067,0.017,-0.818,-1.225
-13.046,-5.454,6.261,-0.022,-0.795,-1.181
-12.981,-5.557,6.488,-0.073,-0.759,-1.113
-12.957,-5.612,6.596,-0.111,-0.728,-1.057
-12.948,-5.665,6.651,-0.147,-0.692,-0.998
-12.981,-5.765,6.668,-0.191,-0.634,-0.918
-13.020,-5.878,6.646,-0.218,-0.584,-0.859
-13.111,-6.043,6.618,-0.243,-0.513,-0.782
-13.166,-6.160,6.591,-0.255,-0.459,-0.727
-13.228,-6.373,6.563,-0.253,-0.211,-0.521
-13.194,-6.266,6.665,-0.247,-0.118,-0.469
-13.180,-6.141,6.766,-0.246,-0.042,-0.434
-13.190,-5.950,6.934,-0.251,0.059,-0.393
-13.218,-5.837,7.056,-0.261,0.134,-0.366
-13.271,-5.710,7.187,-0.276,0.208,-0.343
-13.372,-5.564,7.329,-0.307,0.296,-0.322
-13.436,-5.483,7.415,-0.339,0.355,-0.312
-13.499,-5.397,7.448,-0.379,0.403,-0.310
-13.530,-5.365,7.458,-0.442,0.449,-0.314
-13.496,-5.356,7.429,-0.493,0.466,-0.320
-13.420,-5.341,7.353,-0.547,0.469,-0.329
-13.228,-5.260,7.154,-0.618,0.456,-0.335
-13.041,-5.183,6.931,-0.669,0.439,-0.336
-12.826,-5.092,6.661,-0.717,0.420,-0.330
-12.579,-5.001,6.239,-0.771,0.397,-0.313
-12.419,-4.975,5.902,-0.803,0.386,-0.296
-12.301,-5.011,5.540,-0.829,0.381,-0.276
-12.206,-5.097,5.097,-0.851,0.375,-0.249
-12.160,-5.181,4.788,-0.858,0.366,-0.229
-12.103,-5.234,4.472,-0.856,0.353,-0.210
-11.997,-5.289,4.049,-0.840,0.329,-0.185
-11.890,-5.291,3.718,-0.816,0.313,-0.165
-11.698,-5.248,3.266,-0.767,0.300,-0.135
-11.552,-5.188,2.942,-0.716,0.303,-0.110
-11.411,-5.116,2.605,-0.654,0.319,-0.083
-11.267,-5.071,2.241,-0.555,0.360,-0.048
-11.162,-5.064,2.028,-0.471,0.407,-0.023
-10.606,-4.855,1.638,-0.038,0.655,0.084
-10.357,-4.657,1.695,0.103,0.742,0.124
-10.183,-4.494,1.755,0.205,0.814,0.159
-10.034,-4.345,1.856,0.301,0.892,0.196
-9.895,-4.233,2.033,0.415,1.000,0.247
-9.859,-4.166,2.239,0.487,1.076,0.287
-9.843,-4.132,2.442,0.545,1.143,0.326
-9.809,-4.089,2.715,0.600,1.221,0.380
-9.797,-4.051,2.914,0.620,1.271,0.419
-9.783,-4.022,3.168,0.626,1.311,0.459
-9.742,-3.996,3.428,0.605,1.345,0.512
-9.747,-3.931,3.613,0.571,1.360,0.549
-9.752,-3.871,3.788,0.521,1.359,0.586
-9.799,-3.797,4.008,0.430,1.332,0.630
-9.850,-3.754,4.046,0.351,1.291,0.659
-9.890,-3.747,3.941,0.266,1.240,0.686
-9.914,-3.757,3.737,0.182,1.189,0.710
-9.902,-3.802,3.361,0.079,1.134,0.742
-9.862,-3.826,3.108,0.013,1.105,0.766
-9.821,-3.833,2.849,-0.043,1.086,0.790
-9.768,-3.824,2.514,-0.105,1.071,0.827
-9.720,-3.814,2.272,-0.141,1.070,0.856
-9.706,-3.797,2.040,-0.169,1.082,0.886
-9.773,-3.759,1.791,-0.199,1.113,0.922
-9.888,-3.764,1.642,-0.215,1.138,0.945
-10.015,-3.785,1.480,-0.227,1.163,0.963
-10.180,-3.771,1.262,-0.240,1.195,0.981
-10.288,-3.742,1.075,-0.245,1.218,0.996
-10.396,-3.661,0.867,-0.248,1.242,1.011
-10.573,-3.591,0.584,-0.251,1.273,1.033
-10.726,-3.543,0.378,-0.252,1.296,1.049
-10.913,-3.493,0.192,-0.251,1.312,1.062
-11.212,-3.445,-0.053,-0.249,1.316,1.071
-11.449,-3.431,-0.287,-0.246,1.308,1.068
-11.660,-3.412,-0.500,-0.242,1.293,1.056
-11.885,-3.347,-0.778,-0.230,1.268,1.025
-11.966,-3.247,-0.955,-0.216,1.250,0.992
-11.983,-3.089,-1.137,-0.197,1.235,0.954
-11.887,-2.772,-1.350,-0.163,1.218,0.899
-11.756,-2.500,-1.477,-0.130,1.207,0.856
-11.583,-2.207,-1.602,-0.090,1.197,0.816
-11.334,-1.824,-1.791,-0.023,1.189,0.762
-11.152,-1.554,-1.903,0.037,1.188,0.724
-10.989,-1.338,-1.992,0.103,1.192,0.685
-10.803,-1.142,-2.095,0.200,1.206,0.626
-10.673,-1.027,-2.200,0.280,1.227,0.576
0.898,-1.494,18.598,2.486,-0.887,-1.285
1.080,-1.607,19.328,2.381,-0.795,-1.231
1.216,-1.753,19.982,2.261,-0.693,-1.169
1.307,-1.781,20.846,2.078,-0.544,-1.076
1.290,-1.745,21.459,1.920,-0.439,-0.997
1.343,-1.834,21.869,1.747,-0.337,-0.915
1.365,-1.982,22.362,1.498,-0.186,-0.806
1.322,-2.023,22.733,1.295,-0.073,-0.722
1.250,-2.033,23.082,1.075,0.031,-0.638
1.116,-2.028,23.580,0.757,0.143,-0.532
0.955,-2.042,23.916,0.493,0.197,-0.459
0.922,-2.076,24.098,0.209,0.228,-0.396
1.022,-1.923,24.105,-0.200,0.252,-0.313
1.166,-1.731,23.944,-0.529,0.268,-0.245
1.336,-1.523,23.679,-0.872,0.276,-0.169
1.568,-1.288,23.068,-1.336,0.258,-0.052
1.745,-1.152,22.374,-1.680,0.220,0.048
1.891,-1.058,21.471,-2.010,0.166,0.159
2.045,-0.931,19.980,-2.412,0.086,0.322
2.095,-0.819,18.742,-2.677,0.030,0.450
2.052,-0.728,17.439,-2.906,-0.021,0.581
1.906,-0.646,15.608,-3.146,-0.075,0.755
1.738,-0.591,14.257,-3.275,-0.100,0.883
1.549,-0.491,12.914,-3.358,-0.109,1.003
1.283,-0.294,11.202,-3.398,-0.088,1.153
1.068,-0.144,10.015,-3.376,-0.051,1.257
0.838,0.010,8.926,-3.313,0.000,1.354
0.567,0.156,7.970,-3.211,0.060,1.444
0.156,0.263,6.831,-3.018,0.149,1.549
-0.223,0.249,6.122,-2.838,0.225,1.616
-0.639,0.148,5.535,-2.633,0.315,1.668
-1.240,-0.024,5.018,-2.336,0.456,1.707
